Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
Benzophenone,19400,13,10,0,1,,,,,,0,,,,
Benzopurpurin 4B,23900,34,26,6,6,,,,,,0,,,,
Benzothiazole,18700,7,5,1,0,,,,,,0,,,,
Benzotriazole,5620,6,5,3,0,,,,,,0,,,,
Beta-carotene,139500,40,56,0,0,,,,,,5,,,,
Betalamic Acid,27000,9,9,1,5,,,,,,0,,,,
Bilirubin,55000,33,36,4,6,,,,,,0,,,,
Biliverdin dimethyl ester,56200,35,38,4,6,,,,,,0,,,,
Biphenyl,16000,12,10,0,0,,,,,,0,,,,
Boron subphthalocyanine chloride,63000,24,12,6,0,,,,,,0,,,,
Calcein Blue,16100,15,15,1,7,,,,,,0,,,,
Carbostyril 124,46500,10,10,2,1,,,,,,0,,,,
Chlorin e6,169000,34,36,4,6,,,,,,0,,,,
Chlorobenzene,280,6,5,0,0,,,,,,0,,,,
Chlorophyll b,160000,55,70,4,6,,,,,,0,,,,
cis-Stilbene,10200,14,12,0,0,,,,,,0,,,,
Congo Red,48000,32,22,6,6,,,,,,0,,,,
Coumarin,11000,9,6,0,2,,,,,,0,,,,
Coumarin 1,23500,14,17,1,2,,,,,,0,,,,
Coumarin 151,17000,10,6,1,2,,,,,,0,,,,
Coumarin 30,54000,21,21,3,2,,,,,,0,,,,
Coumarin 314,46800,18,19,1,4,,,,,,0,,,,
Coumarin 343,44300,16,15,1,4,,,,,,0,,,,
Coumarin 6,54000,20,18,2,2,,,,,,0,,,,
Coumarin 7,52500,20,19,3,2,,,,,,0,,,,
Cresol Red,46300,21,18,0,5,,,,,,0,,,,
Cresyl Violet perchlorate,28000,16,12,3,5,,,,,,0,,,,
Crystal Violet,75800,25,30,3,0,,,,,,0,,,,
Curcumin,55000,21,20,0,6,,,,,,0,,,,
Cyanocobalamin,27500,63,88,14,14,,,,,,0,,,,
Cytosine,6100,4,5,3,1,,,,,,0,,,,
D-(-)-Salicin,1000,13,18,0,7,,,,,,0,,,,
Diethyl phthalate,7110,12,14,0,4,,,,,,0,,,,
DL-alpha-Tocopherol,26300,29,50,0,2,,,,,,0,,,,
Durene,214,10,14,0,0,,,,,,0,,,,
Ellagic Acid Dihydrate,35600,14,10,0,10,,,,,,0,,,,
Eosin Y,112000,20,6,0,5,,,,,,0,,,,
Erythrosine B,107000,20,6,0,5,,,,,,0,,,,
Ethidium Bromide,56800,21,20,3,0,,,,,,0,,,,
Ethyl 4-(dimethylamino)benzoate,23200,11,15,1,2,,,,,,0,,,,
Evans Blue,86000,34,24,6,14,,,,,,0,,,,
FePc,69200,32,16,8,0,,,,,,0,,,,
Ferrocene,96,10,10,0,0,,,,,,0,,,,
Fluorescein,92300,20,12,0,5,,,,,,0,,,,
Folic acid,25200,19,19,7,6,,,,,,0,,,,
Gallacetophenone,12500,8,8,0,4,,,,,,0,,,,
Guanine,10700,5,5,5,1,,,,,,0,,,,
H2P,261000,7,15,0,9,,,,,,0,,,,
H2Pc,162000,32,18,8,0,,,,,,0,,,,
Hematin,85000,34,34,4,5,,,,,,0,,,,
Hesperidin,41700,28,34,0,15,,,,,,0,,,,
Hexafluorobenzene,684,6,0,0,0,,,,,,0,,,,
Hexamethylbenzene,214,12,18,0,0,,,,,,0,,,,
Hoechst 33258,40100,25,24,6,1,,,,,,0,,,,
Hydroquinone,17000,6,6,0,2,,,,,,0,,,,
Iodobenzene,13200,6,5,0,0,,,,,,0,,,,
Janus Green B,35000,30,31,6,0,,,,,,0,,,,
L-Alanine,9,3,7,1,2,,,,,,0,,,,
L-Ascorbic acid,14000,6,8,0,6,,,,,,0,,,,
L-Histidine,5700,6,9,3,2,,,,,,0,,,,
L-Phenylalanine,195,9,11,1,2,,,,,,0,,,,
L-Tryptophan,5579,11,12,2,2,,,,,,0,,,,
L-Tyrosine,1405,9,11,1,3,,,,,,0,,,,
MgOEP,408000,36,44,4,0,,,,,,0,,,,
MgPc,87100,32,16,8,0,,,,,,0,,,,
m-Xylene,284,8,10,0,0,,,,,,0,,,,
"N,N-Dimethyl-aniline",14900,8,11,1,0,,,,,,0,,,,
Naphthalene,6000,10,8,0,0,,,,,,0,,,,
Nitrobenzene,8140,6,5,1,2,,,,,,0,,,,
N-Phenylbenzylamine,13200,13,13,1,0,,,,,,0,,,,
o-Xylene,254,8,10,0,0,,,,,,0,,,,
Pentacene,7200,22,14,0,0,,,,,,0,,,,
Pentamethylbenzene,629,11,16,0,0,,,,,,0,,,,
Perylene,38500,20,12,0,0,,,,,,0,,,,
p-Fuchsin,80600,19,18,3,0,,,,,,0,,,,
